node_id,bus,load_element_count,complete_official_files,dss_vs_parquet_max_abs_error_kw,dss_vs_parquet_mean_abs_error_kw,dss_vs_parquet_corr,legacy_vs_dss_max_abs_error_kw,legacy_vs_parquet_max_abs_error_kw,legacy_vs_dss_corr,legacy_vs_parquet_corr
p10rlv6659,p10rlv6659,2,True,8.881784197001252e-16,1.0040801270083109e-17,1.0,14.65661781261092,14.65661781261092,0.11312574769161428,0.11312574769161428
p10rlv679,p10rlv679,2,True,4.440892098500626e-16,1.5628353507316167e-18,0.9999999999999999,7.080365895983388,7.080365895983388,0.06876681629239122,0.06876681629239122
p10rlv696,p10rlv696,2,True,8.881784197001252e-16,2.4918233382318903e-17,1.0,7.412645730058086,7.412645730058086,0.3914333215243534,0.39143332152435334
p10rlv7262,p10rlv7262,2,True,4.440892098500626e-16,6.186388286474367e-19,1.0,6.608529287144028,6.608529287144028,0.31936117829265953,0.31936117829265953
p10rlv7286,p10rlv7286,2,True,4.440892098500626e-16,5.549530900773293e-18,1.0,7.122400910240061,7.122400910240061,-0.03186590346261841,-0.03186590346261841
p10rlv7583,p10rlv7583,2,True,0.8116621326718905,0.06537593034281713,0.9620926293731727,3.22581994712695,3.22581994712695,-0.26162358105168176,-0.3158853562338532
p10rlv7584,p10rlv7584,2,True,8.881784197001252e-16,2.812311520140665e-17,1.0,10.838533093735224,10.838533093735224,0.19018457268677497,0.19018457268677497
p10rlv7860,p10rlv7860,2,True,1.7763568394002505e-15,2.435900289188985e-17,1.0,15.895860081804727,15.895860081804727,0.30147840449336355,0.30147840449336344
p10rlv7861,p10rlv7861,2,True,8.881784197001252e-16,1.295418617631265e-17,1.0,12.796194785992622,12.796194785992622,0.2203242551904418,0.2203242551904418
p10rlv8456,p10rlv8456,2,True,8.881784197001252e-16,3.199495463089278e-17,0.9999999999999998,14.039454035430305,14.039454035430305,0.33115922311290036,0.33115922311290036
p10rlv9050,p10rlv9050,2,True,8.881784197001252e-16,5.1946650938154795e-18,1.0,13.835012779028377,13.835012779028377,0.14745803433581106,0.14745803433581106
p10rlv9051,p10rlv9051,2,True,4.440892098500626e-16,3.749854308344386e-18,1.0,17.510135962528164,17.510135962528164,0.32190030609085185,0.32190030609085185
p10rlv92,p10rlv92,2,True,8.881784197001252e-16,2.3506691266250103e-17,1.0,11.984598607258366,11.984598607258366,0.2105324794377744,0.21053247943777437
p10rlv943,p10rlv943,2,True,8.881784197001252e-16,2.645651328658692e-17,1.0,15.000300947234052,15.000300947234052,0.3020094371599247,0.3020094371599247
p10rlv9646,p10rlv9646,2,True,1.7763568394002505e-15,6.489608444740998e-17,1.0,17.859582647903956,17.859582647903956,0.24568093738032923,0.24568093738032923
p10rlv9907,p10rlv9907,2,True,4.440892098500626e-16,5.549530900773293e-18,1.0,7.122400910240061,7.122400910240061,-0.03186590346261841,-0.03186590346261841
p10rlv9923,p10rlv9923,2,True,1.7763568394002505e-15,3.619868864322562e-16,0.9999999999999999,12.513806564904263,12.513806564904261,0.21888586670926186,0.218885866709262
